tick, tick... BOOM! (Soundtrack from the Netflix Film)	The Cast of Netflix's Film tick, tick... BOOM!	https://lastfm.freetls.fastly.net/i/u/300x300/96e62aac93a88388bf2036bec6acaa5d.jpg	17.0	219180.0	1636664400000.0	"[""soundtrack"",""musical"",""folk"",""indie"",""rnb"",""soul"",""lo-fi"",""singer-songwriter"",""female vocalists"",""neo-soul"",""pop"",""actor"",""indie rock"",""neo soul"",""indie folk"",""jazmine sullivan""]"
your name.	RADWIMPS	https://lastfm.freetls.fastly.net/i/u/300x300/07cb9db6a308029d489c3af2c9fc5847.jpg	27.0	260355.0	1471986000000.0	"[""soundtrack"",""anime"",""j-rock"",""makes me feel melancholic"",""japanese"",""piano"",""instrumental"",""rock"",""beautiful"",""under a minute"",""alternative"",""ost"",""j-pop"",""radwimps"",""jrock"",""indie""]"
Into the Wild	Eddie Vedder	https://lastfm.freetls.fastly.net/i/u/300x300/c67c3bd633e3415abd93c05728eeb9f9.jpg	11.0	229894.0	1167609600000.0	"[""soundtrack"",""acoustic"",""rock"",""singer-songwriter"",""folk rock"",""into the wild"",""eddie vedder"",""grunge"",""2007"",""folk"",""folkrock"",""instrumental"",""loved"",""alternative"",""melancholy"",""sad""]"
The Social Network	Trent Reznor and Atticus Ross	https://lastfm.freetls.fastly.net/i/u/300x300/44d470d009d24d658d0d2b2bcaa2bcd2.jpg	19.0	253713.0	1285531200000.0	"[""soundtrack"",""2010"",""ambient"",""electronic"",""score"",""instrumental"",""film score"",""favourite albums"",""industrial"",""dark ambient"",""beautiful"",""cover"",""77davez-all-tracks"",""experimental"",""contemporary classical"",""quanta records""]"
Hollow Knight (Original Soundtrack)	Christopher Larkin	https://lastfm.freetls.fastly.net/i/u/300x300/2d3d5ca22d4059374b3edcb5f319bd53.jpg	26.0	201071.0	1486674000000.0	"[""cinematic classical"",""ambient"",""modern classical"",""instrumental"",""neoclassical darkwave"",""female vocalist"",""soundtrack"",""classical"",""video games"",""game"",""video game music"",""ost"",""video game"",""2010s"",""soundtracks"",""darkwave""]"
Howl's Moving Castle Soundtrack	久石譲	https://lastfm.freetls.fastly.net/i/u/300x300/37f71f8967acbddcc90da8d8740438f0.jpg	5.0	3955.0	1582923600000.0	"[""contemporary classical"",""soundtrack"",""classical""]"
Howl's Moving Castle Soundtrack	久石譲	https://lastfm.freetls.fastly.net/i/u/300x300/37f71f8967acbddcc90da8d8740438f0.jpg	5.0	3955.0	1582923600000.0	"[""contemporary classical"",""soundtrack"",""classical""]"
Dream Glow (BTS World Original Soundtrack) [Pt. 1]	BTS	https://lastfm.freetls.fastly.net/i/u/300x300/ccb9cfd092710c4180219329158e4e5e.jpg		249691.0	1559854800000.0	"[""soundtrack"",""bop"",""kpop"",""charlixcx"",""btsworld"",""bts world soundtrack""]"
The Last of Us	Gustavo Santaolalla	https://lastfm.freetls.fastly.net/i/u/300x300/a7e46b028c3aad3359b8d41c9a938a7b.jpg	30.0	309333.0	1370548800000.0	"[""soundtrack"",""instrumental"",""sad"",""so fucking cool"",""video game soundtrack"",""video game music"",""lara-loved"",""ambient"",""the last of us"",""guitar"",""softnight"",""peace"",""dark ambient"",""composer"",""acoustic"",""cello""]"
FAST X (Original Motion Picture Soundtrack)	Fast & Furious: The Fast Saga	https://lastfm.freetls.fastly.net/i/u/300x300/85612688f39a3fe6130bda8e78501f11.jpg	21.0	69151.0	1684443600000.0	"[""soundtrack"",""various artists"",""motion picture soundtrack""]"
呼吸	Lily Chou-Chou	https://lastfm.freetls.fastly.net/i/u/300x300/5cca9af7b26d48e6ab014e59fbcba8f0.jpg	9.0	180255.0	1003262400000.0	"[""dream pop"",""soft rock"",""j-pop"",""relaxing"",""ether"",""japanese"",""indie"",""female vocalists"",""ethereal"",""indie pop"",""pop"",""alternative rock"",""art pop"",""rock"",""soundtrack"",""shoegaze""]"
Six: The Musical (Studio Cast Recording)	SIX	https://lastfm.freetls.fastly.net/i/u/300x300/a9d48e5691f48d4be01b675a5a772957.jpg	9.0	198738.0	1535662800000.0	"[""musical"",""mistagged"",""wrong artist"",""pop"",""six"",""soundtrack"",""musical theatre"",""female vocalists"",""this track belongs with the six the musical album"",""six the musical"",""wrong song"",""cast recording"",""musicals"",""natalie paris"",""cast album"",""nu metal""]"
