@RELATION soundtracks

@ATTRIBUTE Title STRING
@ATTRIBUTE Author STRING
@ATTRIBUTE Length NUMERIC
@ATTRIBUTE Listeners NUMERIC
@ATTRIBUTE Released NUMERIC
@ATTRIBUTE Cover STRING
@ATTRIBUTE Genre {pop, hip-hop, rock, rhythm-blues, soul, country, funk, folk, jazz, disco, instrumental, ai, blues, electronic, ambient, punk, opera, alternative, anime, soundtrack}
@ATTRIBUTE Single {0, 1}
@ATTRIBUTE Album {0, 1}
@ATTRIBUTE EP {0, 1}

@DATA
'Devilman Crybaby (Original Soundtrack)','Kensuke Ushio',0.5661823087078902,0.16881865897833961,0.5714285714286689,../files/images/b051e5f8b7ad7c8df6e8c98071f31a9a.jpg,pop,0,1,0
'Black Panther: Wakanda Forever - Music From and Inspired By',Rihanna,0.41021424228204734,0.22686552820285355,0.5714285714286689,../files/images/1aaa6819310191389df6a0daaf395862.jpg,pop,0,1,0
'Le Fabuleux Destin d\'Amélie Poulain','Yann Tiersen',0.41021424228204734,0.3074709839580099,0.5714285714286689,../files/images/f18a4f377d8b49329e65b0a66050ee84.jpg,jazz,0,1,0
'Spider-Man: Across the Spider-Verse (Original Score)','Daniel Pemberton',0.5047476719499512,0.11655799512086937,0.5714285714286689,../files/images/c6e858c3a5cbd1aa46a840797fb78f16.jpg,soundtrack,0,1,0
'A Shape of Light \"A Silent Voice the Movie\" Original Soundtrack','Kensuke Ushio',0.6088809339170064,0.07614326901752051,0.5714285714286689,../files/images/532f31340b48a50fbbc61bf14f9cf865.jpg,pop,0,1,0
'Tron Legacy (Original Motion Picture Soundtrack)','Daft Punk',0.37046037472640414,0.07569084054113995,0.5714285714286689,../files/images/348cb46c39624505a8c53f75b2b89189.jpg,electronic,0,1,0
'Spirited Away Soundtrack',久石譲,0.4189063945445097,0.002350114585643528,0.5714285714286689,../files/images/a133c5c9b1153b4fdf1c68ebf8de79f8.jpg,instrumental,0,1,0
'Scott Pilgrim vs. the World (Original Motion Picture Soundtrack)','Various Artists',0.4010761479048362,0.2441228653803504,0.5714285714286689,../files/images/6497c89b5ba34ce7cc58eeba600c9aeb.jpg,rock,0,1,0
'Bastion Original Soundtrack','Darren Korb',0.42719411126024803,0.09834627042211873,0.5714285714286689,../files/images/5d09c4fc39d74593ae9db09dc3fc0131.jpg,instrumental,0,1,0
'Glee: The Music, The Complete Season Four','Glee Cast',0.707322519333506,0.1263872255489022,0.5714285714286689,../files/images/294b7cdbe05970a9eeb66b36295f72f7.jpg,pop,0,1,0
'Victorious: Music From The Hit TV Show (feat. Victoria Justice)','Victorious Cast',0.3589625931125973,0.18408146669623715,0.5714285714286689,../files/images/2868742466d70fab4e4400d720c703d5.jpg,pop,0,1,0
'The Fountain','Clint Mansell',0.28672745070657935,0.19906631182080284,0.5714285714286689,../files/images/2ac4eb4ab2104bab932ea9279a1d7fe0.jpg,instrumental,0,1,0
'Soundtrack From Twin Peaks','Angelo Badalamenti',0.30370731968477993,0.17756708804612997,0.5714285714286689,../files/images/f7e7847d57d2baeb78b0ab2d053ec0bb.jpg,pop,0,1,0
'Shop: A Pop Opera','Jack Stauber\'s Micropop',0.24697358315093607,0.2034124343904783,0.5714285714286689,../files/images/808af3fe06a0dbc22fa092a31833892f.jpg,pop,0,1,0
'Outer Wilds (Original Soundtrack)','Andrew Prahlow',0.47015804371395975,0.0840592888297479,0.5714285714286689,../files/images/461bff778a1e614537f0cf68b5265382.jpg,rock,0,1,0
'Amelie From Montmartre','Yann Tiersen',0.41021424228204734,0.2887151622680565,0.5714285714286689,../files/images/6aa95b836e234c4a93f8e93e594a5c3e.jpg,instrumental,0,1,0
'Cyberpunk 2077 - Original Score','Marcin Przybyłowicz',0.34667125213849165,0.09603090116064168,0.5714285714286689,../files/images/df67df1bd37dced4cfbd1bddc28226b8.jpg,punk,0,1,0
'FINAL FANTASY VII REMAKE Original Soundtrack','Square Enix Music',0.7761641537686269,0.05919198639757522,0.5714285714286689,../files/images/c18ce9723f69ef317f176ae42349e42a.jpg,instrumental,0,1,0
'The Virgin Suicides',Air,0.33346863663620474,0.3687055518592445,0.5714285714286689,../files/images/712d803047384a34bd3159a38cd492cd.jpg,instrumental,0,1,0
'Eternal Sunshine of the Spotless Mind','Various Artists',0.4569554282116728,0.2023567679455903,0.5714285714286689,../files/images/1a0a597a9e7f480fa8d3dcb02916e29c.jpg,soundtrack,0,1,0
'La La Land (Original Motion Picture Soundtrack)','Various Artists',0.3812608803744831,0.123166999334664,0.5714285714286689,../files/images/80344b308c142aaa4d072cd2c337a76d.jpg,jazz,0,1,0
'Stranger Things, Vol. 1 (A Netflix Original Series Soundtrack)','Kyle Dixon & Michael Stein',0.5149306595384401,0.17833961706217194,0.5714285714286689,../files/images/7d96efa8c4124b672771df392f105742.jpg,instrumental,0,1,0
'Suicide Squad: The Album','Various Artists',0.34667125213849165,0.27645671619723516,0.5714285714286689,../files/images/7ecc12622843ce2df7dd7b54dbbd4779.jpg,pop,0,1,0
'Harry Potter and The Sorcerer\'s Stone Original Motion Picture Soundtrack','John Williams',0.4010761479048362,0.20432764101426776,0.5714285714286689,../files/images/8cdbc199ec0188e16a58a3c21284a4d2.jpg,instrumental,0,1,0
'Silent Hill 2','Akira Yamaoka',0.48244938468806536,0.12541139942337548,0.5714285714286689,../files/images/6e06ecccaf48fb45be86a51f8c4864e7.jpg,rock,0,1,0
'Back to You (From 13 Reasons Why – Season 2 Soundtrack)','Selena Gomez',0.3589625931125973,0.2512663561765358,0.5714285714286689,../files/images/a26a7fed185f7df77c986ed1ab7dcdb8.jpg,pop,0,1,0
